Date,No of Persons,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,BREAKFAST,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,LUNCH,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER,DINNER
,,Puttu,Puttu,Kadala,Kadala,Dosa,Dosa,Chutney,Chutney,Uppma,Uppma,Bread,Bread,Butter,Butter,Rice,Rice,Sambar,Sambar,Chicken Fry,Chicken Fry,Egg,Egg,Aviyal,Aviyal,Biriyani,Biriyani,Idiyappam,Idiyappam,Green_Peas,Green_Peas,Ghee Rice,Ghee Rice,Chicken Curry,Chicken Curry,Appam,Appam,Egg curry,Egg curry,Rice Soup,Rice Soup,Beans,Beans
,,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste,Amount,Waste
1,280,28,6.9,7,4.7,15,4.3,14,7.5,20,9.4,36,3.5,8,0,25,12.9,30,7,49,13.3,220,12.5,2,0.5,40,4.7,900,21.1,6,3.5,40,14.2,49,10,1000,20.3,220,13.4,10,3.2,2.5,1
2,277,27.7,8.6,6.925,4.4,14.83928571,6.1,13.85,7.5,19.78571429,8.3,35.61428571,3.6,7.914285714,0,24.73214286,12.7,29.67857143,7.9,48.475,15.2,217.6428571,12.9,1.978571429,1,39.57142857,4.8,890.3571429,19.2,5.935714286,3,39.57142857,15.5,48.475,11.6,989.2857143,21.9,217.6428571,13.7,9.892857143,3.1,2.473214286,1
3,268,26.8,2.3,6.7,1.2,14.35714286,2.4,13.4,3.4,19.14285714,3.6,34.45714286,2.5,7.657142857,0,23.92857143,4.4,28.71428571,5.9,46.9,5.6,210.5714286,9.8,1.914285714,0.2,38.28571429,1.1,861.4285714,14.9,5.742857143,1.7,38.28571429,5.1,46.9,0,957.1428571,10.1,210.5714286,6.8,9.571428571,1.2,2.392857143,0
4,273,27.3,2.1,6.825,1,14.625,2.7,13.65,3.3,19.5,1.8,35.1,1,7.8,0,24.375,9.9,29.25,4.9,47.775,6.8,214.5,9.3,1.95,0.4,39,3.8,877.5,10.7,5.85,1.6,39,3,47.775,1.1,975,9.9,214.5,9.7,9.75,2.9,2.4375,0.4
5,266,26.6,5.2,6.65,4.9,14.25,7.6,13.3,8.7,19,7.8,34.2,3.6,7.6,0,23.75,15.9,28.5,7.2,46.55,12.5,209,13.7,1.9,1,38,4.7,855,26,5.7,3,38,13.6,46.55,12.1,950,20.8,209,12.2,9.5,5,2.375,1
6,273,27.3,7.3,6.825,4.3,14.625,5.6,13.65,6.7,19.5,9.5,35.1,3.3,7.8,0,24.375,14.5,29.25,8.8,47.775,12,214.5,11.9,1.95,1.1,39,6.5,877.5,18.7,5.85,3.2,39,9.2,47.775,13.8,975,21,214.5,11.5,9.75,4.1,2.4375,1
7,292,29.2,8.5,7.3,4.4,15.64285714,6.6,14.6,7.8,20.85714286,8.2,37.54285714,3.4,8.342857143,0,26.07142857,11.6,31.28571429,8.1,51.1,13,229.4285714,12.5,2.085714286,1.2,41.71428571,6.6,938.5714286,23.1,6.257142857,3.5,41.71428571,14.5,51.1,13.2,1042.857143,21.9,229.4285714,11.1,10.42857143,4.8,2.607142857,1
1,258,25.8,5.1,6.45,3,13.82142857,5.9,12.9,8.4,18.42857143,8.7,33.17142857,3.5,7.371428571,0,23.03571429,14.2,27.64285714,7.1,45.15,9.4,202.7142857,12.2,1.842857143,1.2,36.85714286,5.5,829.2857143,18.5,5.528571429,3.7,36.85714286,18.9,45.15,10.2,921.4285714,20.7,202.7142857,13.2,9.214285714,5.2,2.303571429,1
